ISIN,DocumentType,EffectiveDate,DownloadDate,DownloadUrl,FilePath,MD5Hash,FileSize
DE000A3CSZE9,verkaufsprospekt,01.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3CSZE9\VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf,fff24524f2b3a676bf550c94ca13e06f,1.31 MiB
DE000A3CSZE9,priips,11.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A3CSZE9_1043006_DE_DE_2024-06-11_6667fb1830693.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A3CSZE9\PRIIPS_DE000A3CSZE9_1043006_DE_DE_2024-06-11_6667fb1830693.pdf,d103725fb13c06c5f7d1377a94ec87cf,172.27 KiB
DE000A2AQYW4,verkaufsprospekt,01.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2AQYW4\VKP_apo_Digital_Health_Aktien_Fonds_01_06_2024.pdf,fff24524f2b3a676bf550c94ca13e06f,1.31 MiB
DE000A2AQYW4,priips,01.06.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A2AQYW4_1041372_DE_DE_2024-06-01_664dbef0d9fc4.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2AQYW4\PRIIPS_DE000A2AQYW4_1041372_DE_DE_2024-06-01_664dbef0d9fc4.pdf,c61c73d6ebe49d1281a33ce3e45547ad,172.65 KiB
DE0005324313,verkaufsprospekt,15.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Forte_15_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE0005324313\VKP_apo_Forte_15_05_2024.pdf,e528cebf99090af0aa5052c0c4ae56d0,1.24 MiB
DE0005324313,priips,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE0005324313_1040852_DE_DE_2024-05-01_662a2710de0df.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE0005324313\PRIIPS_DE0005324313_1040852_DE_DE_2024-05-01_662a2710de0df.pdf,1c26383bef37a29f1a9b93e7f344e342,172.09 KiB
DE000A2DP560,verkaufsprospekt,15.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_apo_Forte_15_05_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2DP560\VKP_apo_Forte_15_05_2024.pdf,e528cebf99090af0aa5052c0c4ae56d0,1.24 MiB
DE000A2DP560,priips,01.05.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A2DP560_1040849_DE_DE_2024-05-01_662a26fa475b3.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A2DP560\PRIIPS_DE000A2DP560_1040849_DE_DE_2024-05-01_662a26fa475b3.pdf,93b86df18dc6ccb53f191cef2c3d343c,172.44 KiB
DE000A0F4ZC4,verkaufsprospekt,29.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/verkaufsprospekt/VKP_APO_High_Yield_Spezial_29_04_2024.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A0F4ZC4\VKP_APO_High_Yield_Spezial_29_04_2024.pdf,40599b98b11e36caafb48b2f6cbd6b3b,986.36 KiB
DE000A0F4ZC4,priips,29.04.2024,17.06.2024,https://fondswelt.hansainvest.com/uploads/documents/priips/PRIIPS_DE000A0F4ZC4_1040398_DE_DE_2024-04-29_66150cff359a2.pdf,C:\Users\Ana_Marija\Documents\teletrader\Hansainvest\DE000A0F4ZC4\PRIIPS_DE000A0F4ZC4_1040398_DE_DE_2024-04-29_66150cff359a2.pdf,d631c62e971a16d31f2e2b23e38bbf70,257.36 KiB
